# file...... output/PMU_like_node_3.csv
# date...... Wed Sep 21 15:06:22 2016
# user...... jacquesdechalendar
# host...... (null)
# target.... meter 33
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag,measured_frequency
2001-01-01 00:00:00.700000 PST,+0,+0,+0,+0,-1236.44621569,+2175.68851737,+0,+0,+0,+0,+0.269741001836,+45.7374423353,+59.9999255842
2001-01-01 00:00:00.710000 PST,+0,+0,+0,+0,-1236.43816837,+2175.69327256,+0,+0,+0,+0,+0.269911762407,+45.7374411307,+59.999928122
2001-01-01 00:00:00.720000 PST,+0,+0,+0,+0,-1236.43039264,+2175.69809189,+0,+0,+0,+0,+0.270078711087,+45.7374401051,+59.9999306561
2001-01-01 00:00:00.730000 PST,+0,+0,+0,+0,-1236.42282897,+2175.70275702,+0,+0,+0,+0,+0.270241110646,+45.7374390699,+59.9999332063
2001-01-01 00:00:00.740000 PST,+0,+0,+0,+0,-1236.41546949,+2175.70705493,+0,+0,+0,+0,+0.270397312474,+45.7374378693,+59.9999358223
2001-01-01 00:00:00.750000 PST,+0,+0,+0,+0,-1236.40836313,+2175.7108997,+0,+0,+0,+0,+0.270545697959,+45.7374364708,+59.9999385493
2001-01-01 00:00:00.760000 PST,+0,+0,+0,+0,-1236.40158648,+2175.71437359,+0,+0,+0,+0,+0.270685559107,+45.7374349778,+59.9999413975
2001-01-01 00:00:00.770000 PST,+0,+0,+0,+0,-1236.39519986,+2175.71766802,+0,+0,+0,+0,+0.270817412686,+45.7374335619,+59.9999443339
2001-01-01 00:00:00.780000 PST,+0,+0,+0,+0,-1236.38921495,+2175.72096468,+0,+0,+0,+0,+0.270942587862,+45.7374323595,+59.9999473001
2001-01-01 00:00:00.790000 PST,+0,+0,+0,+0,-1236.38359248,+2175.72432927,+0,+0,+0,+0,+0.27106236843,+45.7374313957,+59.9999502432
2001-01-01 00:00:00.800000 PST,+0,+0,+0,+0,-1236.37826974,+2175.72767898,+0,+0,+0,+0,+0.271177213239,+45.7374305751,+59.9999531426
2001-01-01 00:00:00.810000 PST,+0,+0,+0,+0,-1236.37319994,+2175.73083849,+0,+0,+0,+0,+0.271286503593,+45.7374297462,+59.9999560166
2001-01-01 00:00:00.820000 PST,+0,+0,+0,+0,-1236.3683798,+2175.73364664,+0,+0,+0,+0,+0.271388940007,+45.737428793,+59.9999589062
2001-01-01 00:00:00.830000 PST,+0,+0,+0,+0,-1236.36384967,+2175.73604896,+0,+0,+0,+0,+0.271483320966,+45.7374277007,+59.9999618462
2001-01-01 00:00:00.840000 PST,+0,+0,+0,+0,-1236.35966766,+2175.73812312,+0,+0,+0,+0,+0.27156923399,+45.7374265598,+59.9999648422
2001-01-01 00:00:00.850000 PST,+0,+0,+0,+0,-1236.35587448,+2175.74002592,+0,+0,+0,+0,+0.271647254113,+45.7374255071,+59.9999678653
2001-01-01 00:00:00.860000 PST,+0,+0,+0,+0,-1236.3524701,+2175.74189791,+0,+0,+0,+0,+0.271718564517,+45.7374246438,+59.9999708677
2001-01-01 00:00:00.870000 PST,+0,+0,+0,+0,-1236.34941532,+2175.7437827,+0,+0,+0,+0,+0.27178424899,+45.7374239783,+59.9999738083
2001-01-01 00:00:00.880000 PST,+0,+0,+0,+0,-1236.34665592,+2175.74560786,+0,+0,+0,+0,+0.271844684412,+45.7374234275,+59.999976673
2001-01-01 00:00:00.890000 PST,+0,+0,+0,+0,-1236.34415418,+2175.7472343,+0,+0,+0,+0,+0.271899383174,+45.7374228705,+59.9999794792
2001-01-01 00:00:00.900000 PST,+0,+0,+0,+0,-1236.3419084,+2175.74854196,+0,+0,+0,+0,+0.271947356253,+45.7374222213,+59.9999822607
